date,ens_1m,real_1m,ens_3m,real_3m,ens_6m,real_6m,ens_12m,real_12m
1969-03-31,0.006715,0.021476,0.027451,-0.037435,0.053361,-0.082652,0.104905,-0.117033
1969-04-30,0.003684,-0.002218,0.024039,-0.114379,0.052345,-0.063362,0.105035,-0.213810
1969-05-31,0.005062,-0.055577,0.027085,-0.076841,0.056402,-0.093273,0.105235,-0.260100
1969-06-30,0.007347,-0.060178,0.030628,-0.046976,0.055978,-0.057824,0.109310,-0.255757
1969-07-31,0.002489,0.040074,0.010959,0.057606,0.044012,-0.074159,0.090207,-0.150060
1969-08-31,0.004832,-0.025024,0.016024,-0.017799,0.043973,-0.062925,0.092800,-0.146477
1969-09-30,0.004379,0.042955,0.014888,-0.011383,0.042155,-0.037479,0.087763,-0.094716
1969-10-31,0.004426,-0.034082,0.015030,-0.124588,0.057267,-0.160626,0.099526,-0.142813
1969-11-30,0.004542,-0.018655,0.015289,-0.045944,0.050867,-0.183989,0.097426,-0.070462
1969-12-31,0.004360,-0.076472,0.015102,-0.026396,0.050462,-0.210080,0.096257,0.000978
1970-01-31,0.002763,0.052694,0.018840,-0.041167,0.033542,-0.081981,0.091996,0.127735
1970-02-28,0.002503,0.001452,0.020931,-0.144693,0.035890,-0.089162,0.100738,0.081006
1970-03-31,0.004951,-0.090483,0.015685,-0.188664,0.033047,-0.059467,0.098705,0.119157
1970-04-30,0.005130,-0.060967,0.016682,-0.042566,0.035650,0.021222,0.105107,0.275147
1970-05-31,0.002412,-0.050033,0.016793,0.064925,0.033657,0.139125,0.103540,0.301502
1970-06-30,0.003094,0.073295,0.014394,0.159241,0.035926,0.267189,0.121831,0.357261
1970-07-31,0.005163,0.044459,0.011506,0.066624,0.030083,0.228443,0.082850,0.224600
1970-08-31,0.005245,0.034102,0.012675,0.069676,0.028904,0.186825,0.078972,0.214794
1970-09-30,0.004948,-0.012456,0.012916,0.093120,0.028207,0.189917,0.076085,0.166548
1970-10-31,0.005972,0.047447,0.012732,0.151712,0.030315,0.248649,0.085700,0.131892
1970-11-30,0.005024,0.056766,0.012956,0.109518,0.027127,0.142546,0.073862,0.077867
1970-12-31,0.008033,0.040477,0.019565,0.088551,0.040048,0.071080,0.100807,0.107868
1971-01-31,0.006119,0.009074,0.027284,0.084168,0.047568,-0.003129,0.099408,0.084063
1971-02-28,0.004629,0.036796,0.025471,0.029767,0.045949,0.023566,0.095917,0.101499
1971-03-31,0.009637,0.036288,0.029880,-0.016050,0.049903,-0.019639,0.101309,0.068687
1971-04-30,0.006182,-0.041558,0.026640,-0.080519,0.048361,-0.093506,0.097769,0.035786
1971-05-31,0.006050,-0.009335,0.026643,-0.006022,0.047734,-0.056609,0.093032,0.099368
1971-06-30,0.007253,-0.031611,0.027752,-0.003647,0.047913,0.034346,0.097113,0.085512
1971-07-31,0.007707,0.036095,0.027926,-0.014124,0.046377,0.087466,0.099454,0.123561
1971-08-31,0.006598,-0.006968,0.022056,-0.050894,0.039389,0.076139,0.091551,0.121781
1971-09-30,0.006372,-0.041794,0.024904,0.038133,0.039670,0.090096,0.096072,0.124161
