Cboe Volume and Put/Call Ratio data is provided for informational purposes only. The volume data reflected below may be based upon preliminary reported volume rather than cleared volume. Cboe makes no guarantee as to the accuracy of the data. Your use of Cboe Volume and Put/Call Ratio data is subject to the Terms and Conditions of the Cboe Website.,,,,
Equity P/C Ratios,,,,
Date,Equity Call Volume,Equity Put Volume,Equity Total Volume,Equity P/C Ratio
5/30/2006,759125,508441,1267566,0.67
5/31/2006,869293,538002,1407295,0.62
6/1/2006,798475,607811,1406286,0.76
6/2/2006,776644,675871,1452515,0.87
6/5/2006,825780,524851,1350631,0.64
6/6/2006,1015395,751336,1766731,0.74
6/7/2006,938168,589591,1527759,0.63
6/8/2006,1094396,864040,1958436,0.79
6/9/2006,795370,504705,1300075,0.63
6/12/2006,984341,554808,1539149,0.56
6/13/2006,1110659,860904,1971563,0.78
6/14/2006,852711,650223,1502934,0.76
6/15/2006,1172580,630729,1803309,0.54
6/16/2006,918677,624811,1543488,0.68
6/19/2006,886133,521838,1407971,0.59
6/20/2006,663639,493672,1157311,0.74
6/21/2006,805712,443453,1249165,0.55
6/22/2006,602843,389682,992525,0.65
6/23/2006,656897,420864,1077761,0.64
6/26/2006,577668,329137,906805,0.57
6/27/2006,813871,534260,1348131,0.66
6/28/2006,622034,412376,1034410,0.66
6/29/2006,1004469,460065,1464534,0.46
6/30/2006,713788,372160,1085948,0.52
7/3/2006,387172,234949,622121,0.61
7/5/2006,606685,429073,1035758,0.71
7/6/2006,739097,466975,1206072,0.63
7/7/2006,771564,445421,1216985,0.58
7/10/2006,769370,464132,1233502,0.6
7/11/2006,808082,658786,1466868,0.82
7/12/2006,686400,579730,1266130,0.84
7/13/2006,787023,612674,1399697,0.78
7/14/2006,863158,674483,1537641,0.78
7/17/2006,834175,555952,1390127,0.67
7/18/2006,943823,733243,1677066,0.78
7/19/2006,1156396,780161,1936557,0.67
7/20/2006,1209885,760294,1970179,0.63
7/21/2006,1276132,1045600,2321732,0.82
7/24/2006,1116566,586986,1703552,0.53
7/25/2006,1007108,575978,1583086,0.57
7/26/2006,1041604,634307,1675911,0.61
7/27/2006,997705,617452,1615157,0.62
7/28/2006,848286,491889,1340175,0.58
7/31/2006,746832,475644,1222476,0.64
8/1/2006,744649,592807,1337456,0.8
8/2/2006,962516,500136,1462652,0.52
8/3/2006,846732,559039,1405771,0.66
8/4/2006,738036,515338,1253374,0.7
8/7/2006,662245,511325,1173570,0.77
8/8/2006,742700,676878,1419578,0.91
8/9/2006,975962,692359,1668321,0.71
8/10/2006,762105,569069,1331174,0.75
8/11/2006,681566,475103,1156669,0.7
8/14/2006,811803,542293,1354096,0.67
8/15/2006,916554,648988,1565542,0.71
8/16/2006,1172617,609363,1781980,0.52
8/17/2006,1257102,752396,2009498,0.6
8/18/2006,1149606,649534,1799140,0.57
8/21/2006,711205,542493,1253698,0.76
8/22/2006,731698,489449,1221147,0.67
8/23/2006,637083,505897,1142980,0.79
8/24/2006,670484,431724,1102208,0.64
8/25/2006,606988,352539,959527,0.58
8/28/2006,616619,399970,1016589,0.65
8/29/2006,699648,510886,1210534,0.73
8/30/2006,738104,478803,1216907,0.65
8/31/2006,606733,453433,1060166,0.75
9/1/2006,619296,417615,1036911,0.67
9/5/2006,783341,514377,1297718,0.66
9/6/2006,757226,597584,1354810,0.79
9/7/2006,961162,562044,1523206,0.58
9/8/2006,704716,512641,1217357,0.73
9/11/2006,954060,666785,1620845,0.7
9/12/2006,1141581,801888,1943469,0.7
9/13/2006,1080409,572720,1653129,0.53
9/14/2006,930994,734469,1665463,0.79
9/15/2006,1292023,723043,2015066,0.56
9/18/2006,1037160,622167,1659327,0.6
9/19/2006,906597,736819,1643416,0.81
9/20/2006,1057282,614473,1671755,0.58
9/21/2006,876234,650638,1526872,0.74
9/22/2006,731865,480566,1212431,0.66
9/25/2006,1025509,668399,1693908,0.65
9/26/2006,940083,687702,1627785,0.73
9/27/2006,1044310,624410,1668720,0.6
9/28/2006,894494,629576,1524070,0.7
9/29/2006,718915,443354,1162269,0.62
10/2/2006,657698,452207,1109905,0.69
10/3/2006,874696,857728,1732424,0.98
10/4/2006,1097990,680860,1778850,0.62
10/5/2006,1067765,670220,1737985,0.63
10/6/2006,884097,581916,1466013,0.66
10/9/2006,823937,550171,1374108,0.67
10/10/2006,1049333,689372,1738705,0.66
10/11/2006,1013857,598370,1612227,0.59
10/12/2006,1077569,581408,1658977,0.54
10/13/2006,1083162,609063,1692225,0.56
10/16/2006,1168739,598963,1767702,0.51
10/17/2006,1140259,708300,1848559,0.62
10/18/2006,1160537,754132,1914669,0.65
10/19/2006,1359208,844458,2203666,0.62
10/20/2006,1617598,975804,2593402,0.6
10/23/2006,1202780,692722,1895502,0.58
10/24/2006,1113462,799047,1912509,0.72
10/25/2006,1322324,795144,2117468,0.6
10/26/2006,1192575,655157,1847732,0.55
10/27/2006,1013785,612875,1626660,0.6
10/30/2006,932086,564457,1496543,0.61
10/31/2006,992641,629254,1621895,0.63
11/1/2006,984519,639931,1624450,0.65
11/2/2006,1046306,646612,1692918,0.62
11/3/2006,959574,635225,1594799,0.66
11/6/2006,961154,525539,1486693,0.55
11/7/2006,1072570,607591,1680161,0.57
11/8/2006,1149751,781288,1931039,0.68
11/9/2006,1249816,771858,2021674,0.62
11/10/2006,650636,471975,1122611,0.73
11/13/2006,1050312,614541,1664853,0.59
11/14/2006,1154000,668501,1822501,0.58
11/15/2006,1314523,702610,2017133,0.53
11/16/2006,1456063,790509,2246572,0.54
11/17/2006,1732528,815859,2548387,0.47
11/20/2006,1161907,625622,1787529,0.54
11/21/2006,1160540,723468,1884008,0.62
11/22/2006,1015431,647123,1662554,0.64
11/24/2006,424135,223588,647723,0.53
11/27/2006,1104152,760394,1864546,0.69
11/28/2006,964970,650189,1615159,0.67
11/29/2006,1131512,589137,1720649,0.52
11/30/2006,1114686,634769,1749455,0.57
12/1/2006,1006998,604484,1611482,0.6
12/4/2006,1066890,694915,1761805,0.65
12/5/2006,1090614,617836,1708450,0.57
12/6/2006,1124389,624945,1749334,0.56
12/7/2006,1115907,742206,1858113,0.67
12/8/2006,1011135,566789,1577924,0.56
12/11/2006,1084612,624991,1709603,0.58
12/12/2006,1070746,772856,1843602,0.72
12/13/2006,1087137,643154,1730291,0.59
12/14/2006,1265310,579327,1844637,0.46
12/15/2006,1516461,783651,2300112,0.52
12/18/2006,1297690,818557,2116247,0.63
12/19/2006,1000146,661036,1661182,0.66
12/20/2006,898210,500600,1398810,0.56
12/21/2006,1127709,509753,1637462,0.45
12/22/2006,570463,377379,947842,0.66
12/26/2006,588796,363136,951932,0.62
12/27/2006,612704,375053,987757,0.61
12/28/2006,571670,397110,968780,0.69
12/29/2006,766008,397328,1163336,0.52
1/3/2007,1244295,707753,1952048,0.57
1/4/2007,1172361,612053,1784414,0.52
1/5/2007,1166872,691927,1858799,0.59
1/8/2007,989727,709433,1699160,0.72
1/9/2007,1198996,792851,1991847,0.66
1/10/2007,1315411,770673,2086084,0.59
1/11/2007,1386101,761222,2147323,0.55
1/12/2007,1123989,624689,1748678,0.56
1/16/2007,1266760,727444,1994204,0.57
1/17/2007,1255169,678969,1934138,0.54
1/18/2007,1364753,824341,2189094,0.6
1/19/2007,1610636,902116,2512752,0.56
1/22/2007,1099922,681309,1781231,0.62
1/23/2007,1243802,804538,2048340,0.65
1/24/2007,1189677,689067,1878744,0.58
1/25/2007,1094049,774101,1868150,0.71
1/26/2007,926540,582998,1509538,0.63
1/29/2007,953721,577740,1531461,0.61
1/30/2007,932577,618690,1551267,0.66
1/31/2007,1190142,679740,1869882,0.57
2/1/2007,1070539,618895,1689434,0.58
2/2/2007,856905,597381,1454286,0.7
2/5/2007,946494,550271,1496765,0.58
2/6/2007,1032405,567750,1600155,0.55
2/7/2007,945287,634557,1579844,0.67
2/8/2007,1101047,626279,1727326,0.57
2/9/2007,1138184,775272,1913456,0.68
2/12/2007,906908,698522,1605430,0.77
2/13/2007,1029777,769410,1799187,0.75
2/14/2007,1162491,779037,1941528,0.67
2/15/2007,1247517,666649,1914166,0.53
2/16/2007,1357916,745725,2103641,0.55
2/20/2007,1043080,662999,1706079,0.64
2/21/2007,982376,699880,1682256,0.71
2/22/2007,1088206,716031,1804237,0.66
2/23/2007,931678,689593,1621271,0.74
2/26/2007,1058564,778248,1836812,0.74
2/27/2007,1461671,1281998,2743669,0.88
2/28/2007,1233680,902275,2135955,0.73
3/1/2007,1219324,978541,2197865,0.8
3/2/2007,1030813,824730,1855543,0.8
3/5/2007,1060683,991219,2051902,0.93
3/6/2007,1036251,790312,1826563,0.76
3/7/2007,953202,671790,1624992,0.7
3/8/2007,955436,731580,1687016,0.77
3/9/2007,842120,691223,1533343,0.82
3/12/2007,1059579,794788,1854367,0.75
3/13/2007,1206655,1179048,2385703,0.98
3/14/2007,1227043,1062781,2289824,0.87
3/15/2007,1099257,861323,1960580,0.78
3/16/2007,1199494,990484,2189978,0.83
3/19/2007,1239273,761155,2000428,0.61
3/20/2007,1143083,818489,1961572,0.72
3/21/2007,1206835,800659,2007494,0.66
3/22/2007,1026852,630824,1657676,0.61
3/23/2007,906916,584468,1491384,0.64
3/26/2007,833787,574391,1408178,0.69
3/27/2007,923428,565618,1489046,0.61
3/28/2007,970200,852752,1822952,0.88
3/29/2007,870799,666587,1537386,0.77
3/30/2007,941531,623357,1564888,0.66
4/2/2007,917864,570346,1488210,0.62
4/3/2007,1010470,665984,1676454,0.66
4/4/2007,885319,636943,1522262,0.72
4/5/2007,1162621,621854,1784475,0.53
4/9/2007,1042149,618885,1661034,0.59
4/10/2007,960814,637171,1597985,0.66
4/11/2007,1028026,701941,1729967,0.68
4/12/2007,1041488,722338,1763826,0.69
4/13/2007,1038226,677449,1715675,0.65
4/16/2007,1485715,773352,2259067,0.52
4/17/2007,1297171,870953,2168124,0.67
4/18/2007,1454906,773803,2228709,0.53
4/19/2007,1455133,904736,2359869,0.62
4/20/2007,1779049,882856,2661905,0.5
4/23/2007,1346604,774633,2121237,0.58
4/24/2007,1206174,870620,2076794,0.72
4/25/2007,1470613,883478,2354091,0.6
4/26/2007,1564008,931774,2495782,0.6
4/27/2007,1276700,727981,2004681,0.57
4/30/2007,1183528,726540,1910068,0.61
5/1/2007,1118179,828286,1946465,0.74
5/2/2007,1227140,692321,1919461,0.56
5/3/2007,1212034,794524,2006558,0.66
5/4/2007,1495795,803127,2298922,0.54
5/7/2007,1453721,658686,2112407,0.45
5/8/2007,1229060,734662,1963722,0.6
5/9/2007,1413059,754775,2167834,0.53
5/10/2007,1193708,837400,2031108,0.7
5/11/2007,1078976,674594,1753570,0.63
5/14/2007,1331689,669145,2000834,0.5
5/15/2007,1296680,834781,2131461,0.64
5/16/2007,1165762,815500,1981262,0.7
5/17/2007,1312426,651029,1963455,0.5
5/18/2007,1621776,835708,2457484,0.52
5/21/2007,1465136,810908,2276044,0.55
5/22/2007,1369027,820726,2189753,0.6
5/23/2007,1162245,787385,1949630,0.68
5/24/2007,1150203,768620,1918823,0.67
5/25/2007,850949,474631,1325580,0.56
5/29/2007,865198,497555,1362753,0.58
5/30/2007,1050935,700051,1750986,0.67
5/31/2007,1300697,656874,1957571,0.51
6/1/2007,1101457,553083,1654540,0.5
6/4/2007,1062595,557833,1620428,0.52
6/5/2007,1160147,748645,1908792,0.65
6/6/2007,1146004,714585,1860589,0.62
6/7/2007,1352199,980144,2332343,0.72
6/8/2007,1088763,649997,1738760,0.6
6/11/2007,1056333,745728,1802061,0.71
6/12/2007,1273564,843831,2117395,0.66
6/13/2007,1142274,658754,1801028,0.58
6/14/2007,1308798,698498,2007296,0.53
6/15/2007,1602194,760751,2362945,0.47
6/18/2007,1108498,635077,1743575,0.57
6/19/2007,1094398,727995,1822393,0.67
6/20/2007,1088820,671942,1760762,0.62
6/21/2007,1034720,629385,1664105,0.61
6/22/2007,930157,580641,1510798,0.62
6/25/2007,824036,616132,1440168,0.75
6/26/2007,943172,657474,1600646,0.7
6/27/2007,997853,650940,1648793,0.65
6/28/2007,988531,566776,1555307,0.57
6/29/2007,937093,604962,1542055,0.65
7/2/2007,939051,498968,1438019,0.53
7/3/2007,689598,394324,1083922,0.57
7/5/2007,1018945,565666,1584611,0.56
7/6/2007,930432,490049,1420481,0.53
7/9/2007,1108894,571447,1680341,0.52
7/10/2007,1210239,714042,1924281,0.59
7/11/2007,1211096,693818,1904914,0.57
7/12/2007,1657502,797309,2454811,0.48
7/13/2007,1436724,716956,2153680,0.5
7/16/2007,1386963,736863,2123826,0.53
7/17/2007,1445867,876804,2322671,0.61
7/18/2007,1475680,1096777,2572457,0.74
7/19/2007,1727324,928258,2655582,0.54
7/20/2007,1880447,1295466,3175913,0.69
7/23/2007,1477248,797025,2274273,0.54
7/24/2007,1461338,1154269,2615607,0.79
7/25/2007,1507277,965019,2472296,0.64
7/26/2007,1658010,1402070,3060080,0.85
7/27/2007,1367957,1056671,2424628,0.77
7/30/2007,1301999,925939,2227938,0.71
7/31/2007,1425843,1024586,2450429,0.72
8/1/2007,1385248,1214721,2599969,0.88
8/2/2007,1328895,1035572,2364467,0.78
8/3/2007,1329548,1045590,2375138,0.79
8/6/2007,1406581,1184528,2591109,0.84
8/7/2007,1388277,957071,2345348,0.69
8/8/2007,1743008,1060591,2803599,0.61
8/9/2007,1543217,997086,2540303,0.65
8/10/2007,1718825,999389,2718214,0.58
8/13/2007,1137407,773251,1910658,0.68
8/14/2007,992168,1071419,2063587,1.08
8/15/2007,1180704,1237743,2418447,1.05
8/16/2007,1738356,1767538,3505894,1.02
8/17/2007,1737034,1295071,3032105,0.75
8/20/2007,1145426,708057,1853483,0.62
8/21/2007,1054170,647362,1701532,0.61
8/22/2007,1222097,755017,1977114,0.62
8/23/2007,878274,623698,1501972,0.71
8/24/2007,799114,546355,1345469,0.68
8/27/2007,885860,589946,1475806,0.67
8/28/2007,949402,825678,1775080,0.87
8/29/2007,955605,654959,1610564,0.69
8/30/2007,871334,567869,1439203,0.65
8/31/2007,778349,500361,1278710,0.64
9/4/2007,1096995,672031,1769026,0.61
9/5/2007,1123799,830674,1954473,0.74
9/6/2007,875453,545873,1421326,0.62
9/7/2007,919635,704435,1624070,0.77
9/10/2007,846681,665505,1512186,0.79
9/11/2007,892771,739797,1632568,0.83
9/12/2007,1019577,592137,1611714,0.58
9/13/2007,975710,588609,1564319,0.6
9/14/2007,895269,574554,1469823,0.64
9/17/2007,879955,574737,1454692,0.65
9/18/2007,1348560,925893,2274453,0.69
9/19/2007,1637433,947553,2584986,0.58
9/20/2007,1253956,697148,1951104,0.56
9/21/2007,1513441,806199,2319640,0.53
9/24/2007,1220330,741980,1962310,0.61
9/25/2007,1111918,832924,1944842,0.75
9/26/2007,1209058,728465,1937523,0.6
9/27/2007,1108001,636921,1744922,0.57
9/28/2007,886416,692684,1579100,0.78
10/1/2007,1119288,634708,1753996,0.57
10/2/2007,1226220,805269,2031489,0.66
10/3/2007,1096174,638612,1734786,0.58
10/4/2007,1259508,623976,1883484,0.5
10/5/2007,1128882,635414,1764296,0.56
10/8/2007,948386,499060,1447446,0.53
10/9/2007,1338651,816021,2154672,0.61
10/10/2007,1300179,727292,2027471,0.56
10/11/2007,1803168,1087956,2891124,0.6
10/12/2007,1610041,910965,2521006,0.57
10/15/2007,1473241,777413,2250654,0.53
10/16/2007,1429043,1067801,2496844,0.75
10/17/2007,1693226,1126915,2820141,0.67
10/18/2007,1683054,928879,2611933,0.55
10/19/2007,1868801,1362063,3230864,0.73
10/22/2007,1403820,931254,2335074,0.66
10/23/2007,1426551,920296,2346847,0.65
10/24/2007,1348656,976987,2325643,0.72
10/25/2007,1187702,908033,2095735,0.76
10/26/2007,1570972,833434,2404406,0.53
10/29/2007,1328952,760056,2089008,0.57
10/30/2007,1114309,912616,2026925,0.82
10/31/2007,1666421,744279,2410700,0.45
11/1/2007,1456385,990108,2446493,0.68
11/2/2007,1353825,943662,2297487,0.7
11/5/2007,1303012,874758,2177770,0.67
11/6/2007,1534335,1090683,2625018,0.71
11/7/2007,1523802,1031324,2555126,0.68
11/8/2007,1823191,1505162,3328353,0.83
11/9/2007,1391263,993379,2384642,0.71
11/12/2007,1929175,1144352,3073527,0.59
11/13/2007,1546307,1318539,2864846,0.85
11/14/2007,1436839,896386,2333225,0.62
11/15/2007,1191559,944987,2136546,0.79
11/16/2007,1386192,1357214,2743406,0.98
11/19/2007,1197054,790058,1987112,0.66
11/20/2007,1392958,1106648,2499606,0.79
11/21/2007,1073697,877112,1950809,0.82
11/23/2007,529934,288293,818227,0.54
11/26/2007,1119792,781309,1901101,0.7
11/27/2007,1919124,1043602,2962726,0.54
11/28/2007,1506764,847245,2354009,0.56
11/29/2007,1150515,674781,1825296,0.59
11/30/2007,1143819,776676,1920495,0.68
12/3/2007,894439,549820,1444259,0.61
12/4/2007,1034595,893691,1928286,0.86
12/5/2007,1066242,670542,1736784,0.63
12/6/2007,1236791,675513,1912304,0.55
12/7/2007,1000965,601352,1602317,0.6
12/10/2007,1056525,708145,1764670,0.67
12/11/2007,1260076,985409,2245485,0.78
12/12/2007,1294022,877010,2171032,0.68
12/13/2007,1101727,812893,1914620,0.74
12/14/2007,1040165,644279,1684444,0.62
12/17/2007,1135286,722037,1857323,0.64
12/18/2007,1297671,971122,2268793,0.75
12/19/2007,1184708,814221,1998929,0.69
12/20/2007,2284298,954069,3238367,0.42
12/21/2007,1550271,988357,2538628,0.64
12/24/2007,637098,468416,1105514,0.74
12/26/2007,861567,552394,1413961,0.64
12/27/2007,926024,547874,1473898,0.59
12/28/2007,934042,520569,1454611,0.56
12/31/2007,857425,577566,1434991,0.67
1/2/2008,1051814,823148,1874962,0.78
1/3/2008,1374433,825766,2200199,0.6
1/4/2008,1630734,1124641,2755375,0.69
1/7/2008,1283857,996994,2280851,0.78
1/8/2008,1400848,1358734,2759582,0.97
1/9/2008,1683920,1258286,2942206,0.75
1/10/2008,1594187,1122758,2716945,0.7
1/11/2008,1503041,1068105,2571146,0.71
1/14/2008,1300316,911409,2211725,0.7
1/15/2008,1519529,1592918,3112447,1.05
1/16/2008,1680304,1438310,3118614,0.86
1/17/2008,1571369,1552258,3123627,0.99
1/18/2008,1693419,1667640,3361059,0.98
1/22/2008,1659116,1196300,2855416,0.72
1/23/2008,2039191,1525843,3565034,0.75
1/24/2008,1759376,1019424,2778800,0.58
1/25/2008,1337887,895796,2233683,0.67
1/28/2008,1095729,708110,1803839,0.65
1/29/2008,1307099,856005,2163104,0.65
1/30/2008,1385332,867685,2253017,0.63
1/31/2008,1429532,997251,2426783,0.7
2/1/2008,1650747,928748,2579495,0.56
2/4/2008,1098903,748960,1847863,0.68
2/5/2008,1175025,1102147,2277172,0.94
2/6/2008,1105857,881984,1987841,0.8
2/7/2008,1252107,1108436,2360543,0.89
2/8/2008,1025824,807689,1833513,0.79
2/11/2008,1156304,790879,1947183,0.68
2/12/2008,1373008,1072767,2445775,0.78
2/13/2008,1077236,815956,1893192,0.76
2/14/2008,1128196,834140,1962336,0.74
2/15/2008,1251411,974872,2226283,0.78
2/19/2008,1264047,841255,2105302,0.67
2/20/2008,1105308,772011,1877319,0.7
2/21/2008,1023428,713152,1736580,0.7
2/22/2008,920931,770848,1691779,0.84
2/25/2008,1045151,686213,1731364,0.66
2/26/2008,1174054,935761,2109815,0.8
2/27/2008,1047907,780254,1828161,0.74
2/28/2008,997787,963484,1961271,0.97
2/29/2008,1034697,865170,1899867,0.84
3/3/2008,1066207,845847,1912054,0.79
3/4/2008,1188958,1146986,2335944,0.96
3/5/2008,1037575,702927,1740502,0.68
3/6/2008,993119,1110581,2103700,1.12
3/7/2008,1142420,1052743,2195163,0.92
3/10/2008,1055109,1046926,2102035,0.99
3/11/2008,1323743,1173610,2497353,0.89
3/12/2008,1164005,977152,2141157,0.84
3/13/2008,1270348,1045054,2315402,0.82
3/14/2008,1177978,1366502,2544480,1.16
3/17/2008,1349043,1814576,3163619,1.35
3/18/2008,1677078,1316666,2993744,0.79
3/19/2008,1549230,1390584,2939814,0.9
3/20/2008,1813852,1455255,3269107,0.8
3/24/2008,1573935,993378,2567313,0.63
3/25/2008,1229418,935131,2164549,0.76
3/26/2008,1198413,934742,2133155,0.78
3/27/2008,1068988,900506,1969494,0.84
3/28/2008,882529,763106,1645635,0.86
3/31/2008,882400,746606,1629006,0.85
4/1/2008,1293883,1043398,2337281,0.81
4/2/2008,1182478,924125,2106603,0.78
4/3/2008,1057309,872928,1930237,0.83
4/4/2008,1085293,889288,1974581,0.82
4/7/2008,1260847,934763,2195610,0.74
4/8/2008,933544,835713,1769257,0.9
4/9/2008,959677,857492,1817169,0.89
4/10/2008,1119069,881551,2000620,0.79
4/11/2008,1155901,1030731,2186632,0.89
4/14/2008,1064570,905768,1970338,0.85
4/15/2008,1102397,1039685,2142082,0.94
4/16/2008,1529075,1103019,2632094,0.72
4/17/2008,1361127,1027841,2388968,0.76
4/18/2008,2073973,1221548,3295521,0.59
4/21/2008,1436025,858187,2294212,0.6
4/22/2008,1443155,952875,2396030,0.66
4/23/2008,1289737,902670,2192407,0.7
4/24/2008,1468327,987825,2456152,0.67
4/25/2008,1286106,934340,2220446,0.73
4/28/2008,1082114,715353,1797467,0.66
4/29/2008,1182706,978053,2160759,0.83
4/30/2008,1259875,839478,2099353,0.67
5/1/2008,1626781,937935,2564716,0.58
5/2/2008,1459309,918640,2377949,0.63
5/5/2008,1455611,968987,2424598,0.67
5/6/2008,1693670,970855,2664525,0.57
5/7/2008,1531073,1021752,2552825,0.67
5/8/2008,1379059,826958,2206017,0.6
5/9/2008,1169676,816790,1986466,0.7
5/12/2008,1475323,969684,2445007,0.66
5/13/2008,1578711,948866,2527577,0.6
5/14/2008,1635274,1017246,2652520,0.62
5/15/2008,1663261,984348,2647609,0.59
5/16/2008,1840679,1078061,2918740,0.59
5/19/2008,1646303,918516,2564819,0.56
5/20/2008,1256906,884585,2141491,0.7
5/21/2008,1400424,1107468,2507892,0.79
5/22/2008,1175158,734793,1909951,0.63
5/23/2008,1161179,829594,1990773,0.71
5/27/2008,1030560,678018,1708578,0.66
5/28/2008,1203473,745426,1948899,0.62
5/29/2008,1299274,866728,2166002,0.67
5/30/2008,1094271,647864,1742135,0.59
6/2/2008,1088503,825630,1914133,0.76
6/3/2008,1306262,1040528,2346790,0.8
6/4/2008,1240167,944269,2184436,0.76
6/5/2008,1470941,939965,2410906,0.64
6/6/2008,1525857,1162232,2688089,0.76
6/9/2008,1590394,1243652,2834046,0.78
6/10/2008,1314141,1068261,2382402,0.81
6/11/2008,1428783,1201848,2630631,0.84
6/12/2008,1674956,1299925,2974881,0.78
6/13/2008,1576108,1199545,2775653,0.76
6/16/2008,1397584,1134991,2532575,0.81
6/17/2008,1429111,1068036,2497147,0.75
6/18/2008,1498367,1284524,2782891,0.86
6/19/2008,1831874,1392386,3224260,0.76
6/20/2008,1751856,1592357,3344213,0.91
6/23/2008,1611425,1058653,2670078,0.66
6/24/2008,1277388,895244,2172632,0.7
6/25/2008,1515078,1076347,2591425,0.71
6/26/2008,1617688,1251224,2868912,0.77
6/27/2008,1378768,1120772,2499540,0.81
6/30/2008,1263522,976397,2239919,0.77
7/1/2008,1573744,1240751,2814495,0.79
7/2/2008,1704335,1205338,2909673,0.71
7/3/2008,1053067,897846,1950913,0.85
7/7/2008,1547112,1372571,2919683,0.89
7/8/2008,1920761,1411055,3331816,0.73
7/9/2008,1492425,1243867,2736292,0.83
7/10/2008,1621360,1504919,3126279,0.93
7/11/2008,1946498,1690604,3637102,0.87
7/14/2008,1642751,1417848,3060599,0.86
7/15/2008,2033621,1810991,3844612,0.89
7/16/2008,2097805,1619036,3716841,0.77
7/17/2008,2455868,1834123,4289991,0.75
7/18/2008,2080706,1482269,3562975,0.71
7/21/2008,1782758,1244287,3027045,0.7
7/22/2008,1884414,1446825,3331239,0.77
7/23/2008,2204669,1397354,3602023,0.63
7/24/2008,1717039,1382573,3099612,0.81
7/25/2008,1292818,950755,2243573,0.74
7/28/2008,1202846,959285,2162131,0.8
7/29/2008,1720391,1144017,2864408,0.66
7/30/2008,1828562,1298296,3126858,0.71
7/31/2008,1672787,1223942,2896729,0.73
8/1/2008,2014055,1715825,3729880,0.85
8/4/2008,1309709,891342,2201051,0.68
8/5/2008,2011231,1180826,3192057,0.59
8/6/2008,1418877,1043210,2462087,0.74
8/7/2008,1363542,1106293,2469835,0.81
8/8/2008,1599560,973276,2572836,0.61
8/11/2008,1705868,1170359,2876227,0.69
8/12/2008,1534129,1120650,2654779,0.73
8/13/2008,1470387,1077549,2547936,0.73
8/14/2008,1409112,971457,2380569,0.69
8/15/2008,1587469,1043198,2630667,0.66
8/18/2008,1203636,905768,2109404,0.75
8/19/2008,1021632,871455,1893087,0.85
8/20/2008,1154401,814133,1968534,0.71
8/21/2008,1080117,655342,1735459,0.61
8/22/2008,966554,577525,1544079,0.6
8/25/2008,797919,532189,1330108,0.67
8/26/2008,850515,682298,1532813,0.8
8/27/2008,934642,639131,1573773,0.68
8/28/2008,1083347,777934,1861281,0.72
8/29/2008,755705,517010,1272715,0.68
9/2/2008,1250954,868301,2119255,0.69
9/3/2008,1396070,943079,2339149,0.68
9/4/2008,1461383,1119937,2581320,0.77
9/5/2008,1425006,1125008,2550014,0.79
9/8/2008,1779553,1380983,3160536,0.78
9/9/2008,1683737,1659675,3343412,0.99
9/10/2008,1514436,1302169,2816605,0.86
9/11/2008,1874815,1508004,3382819,0.8
9/12/2008,1761492,1560891,3322383,0.89
9/15/2008,1356560,1599123,2955683,1.18
9/16/2008,1800396,1680735,3481131,0.93
9/17/2008,1962134,1857519,3819653,0.95
9/18/2008,2326064,1846774,4172838,0.79
9/19/2008,2465398,1247669,3713067,0.51
9/22/2008,1431585,1024696,2456281,0.72
9/23/2008,1221133,925089,2146222,0.76
9/24/2008,1040121,735461,1775582,0.71
9/25/2008,1362065,844652,2206717,0.62
9/26/2008,1201479,977491,2178970,0.81
9/29/2008,1303007,1022950,2325957,0.79
9/30/2008,1264625,921265,2185890,0.73
10/1/2008,1409158,1062593,2471751,0.75
10/2/2008,1457775,1301251,2759026,0.89
10/3/2008,1593960,1174609,2768569,0.74
10/6/2008,1940395,1832112,3772507,0.94
10/7/2008,1474638,1406197,2880835,0.95
10/8/2008,1826646,1579398,3406044,0.86
10/9/2008,1495290,1568975,3064265,1.05
10/10/2008,1946117,1974914,3921031,1.01
10/13/2008,1617605,1122688,2740293,0.69
10/14/2008,1587454,1276293,2863747,0.8
10/15/2008,1403482,1258991,2662473,0.9
10/16/2008,1506915,1409184,2916099,0.94
10/17/2008,1554627,1282347,2836974,0.82
10/20/2008,1242718,770527,2013245,0.62
10/21/2008,1128987,868940,1997927,0.77
10/22/2008,1228910,1074459,2303369,0.87
10/23/2008,1248056,1152988,2401044,0.92
10/24/2008,1143008,1113793,2256801,0.97
10/27/2008,915767,723516,1639283,0.79
10/28/2008,1467559,959102,2426661,0.65
10/29/2008,1501887,883938,2385825,0.59
10/30/2008,1349102,930457,2279559,0.69
10/31/2008,1288222,969531,2257753,0.75
11/3/2008,1050891,806463,1857354,0.77
11/4/2008,1454047,1035673,2489720,0.71
11/5/2008,1391334,1139005,2530339,0.82
11/6/2008,1209638,1224468,2434106,1.01
11/7/2008,918608,710915,1629523,0.77
11/10/2008,901410,834960,1736370,0.93
11/11/2008,1044085,1015479,2059564,0.97
11/12/2008,1123714,1093822,2217536,0.97
11/13/2008,1748790,1617334,3366124,0.92
11/14/2008,1122839,916887,2039726,0.82
11/17/2008,994065,862464,1856529,0.87
11/18/2008,1171875,1098612,2270487,0.94
11/19/2008,1230553,1425957,2656510,1.16
11/20/2008,1464525,1533389,2997914,1.05
11/21/2008,1667376,1857689,3525065,1.11
